answer_text	intent_texts
Чтобы удалить данные, скачайте файл Excel с товарами и удалите артикул МегаМаркета, либо проставьте ДА, напротив столбца Удалить. 	NULL
Если вы меняете цену через раздел Цены, то дубли создаваться не будут. Но если меняете цену из карточки товара, то создается дубль товара при отправке в маркетплейс. В карточке товара будет отображаться, что карточка отправлена на маркетплейс.	NULL
<p>Ставите тикет сразу на очередь Appeal, пишите в чат Помощь в ТП ссылку на тикет и вопрос клиента, эксперт проверит комиссию у ВБ. Если совпадает, то пишете клиенту, что так и должно быть, если нет, то эксперт передает разработчикам.</p>	NULL
Вы можете отредактировать шаблон Листа сборки в Шаблонах документов PDF:\nhttps://selsup.ru/application/pdfDocuments/\n\nВы можете изменить колонки, изменить содержимое каждой колонки.	NULL
<p>Необходимо проверить в каком статусе задача по отправке цен в разделе Настройки - История событий (действий)&nbsp;. Пока задача не завершится - цены не передадутся, после успешного завершения задачи - цены передаются на МП.</p><p>Задача будет и в случае передачи цены из Селсап в МП, и наоборот.</p>	NULL
Вы можете активировать промо-код в разделе Тарифы: https://selsup.ru/application/tariffs/	NULL
Если вы хотите добавить товары в короб, просто отсканируйте ШК короба, в который хотите добавить и ШК товаров, которые добавляете в задание по упаковке.\nhttps://selsup.ru/application/task/pack\n\nТовары будут добавлены в короб	NULL
Статистику по заказам нельзя сравнивать, только по фин.отчету по продажам, так как там различаются даты (создания и продажи).Как сравнивать аналитику мы рассказали в видео:\n- Сверка по Вайлберриез https://youtu.be/VVUJ0RKmqdA?si=Gvf3z9qZJ2ME9_hT\n- Сверка по Озон https://youtu.be/T5LZbvMKBPA?si=wB2r7voSCoSJvu17	NULL
Нажмите, пожалуйста, на кнопку "Обновить" в заказе. Если ошибка повторится, напишите нам повторно. 	NULL
Заказы СУЗ не обязательно будут отображаться при создании заказа. Перейдите на шаг "Получить маркировку", выполните действия для получения маркировки и нажмите следующий шаг - появится галочка на шаге "Получить маркировку". Отсутствие заказов СУЗ на этом этапе значит, что маркировка взята из буфера. Вы можете проверить, что она получена, в столбце Маркировка.	NULL
Связи карточек с маркетплейсами устанавливаются по штрих-коду или артикулу. Проверьте, пожалуйста, у вас совпадают штрих-коды или артикулы в маркетплейсе и в Селсап.	NULL
Ошибка "Цвет уже используется в этой модели" (может быть в момент сохранения карточки)возникает, если вы пытаетесь задублировать цвет. Проверьте, пожалуйста, в блоке с цветом, что у вас нет одинаковых артикулов цвета.	NULL
<p>Все проблемы с импортом заказов - не будет видно связей в карточке. Но в Уведомлениях будет ошибка. Можно искать заказы по последним 4 цифрам стикера. Даже если заказ отгружен - он импортируется в Селсап.</p>	NULL
Вы можете загрузить Excel файл с товарами в приёмку на склад в разделе Приёмка на склад - Создать поступление: https://selsup.ru/application/incomeOrders/	NULL
К сожалению, у нас нет такой функции.	NULL
Связи со складами настраиваются для работы по FBS. Если у вас нет возможности выбрать склад, то скорее всего у вас нет склада FBS в личном кабинете маркетплейса. Как настраивать склады мы писали в статье: https://selsup.ru/help/rabota-so-skladami/	NULL
<p>Необходимо повторить импорт товара. Если не помогло - ставить тикет на Appeal:</p><ul><li>логин</li><li>ШК товара</li><li>откуда импорт</li><li>машина клиента</li></ul><p>Эксперт передает в разработку, дублирует информацию в чат Тестирование-Техподдержка.</p>	NULL
Такая ошибка возникает, если вы вводите ТНВЭД отличный от представленных в справочнике Честного знака. Проверить код ТНВЭД вы можете на сайте: https:честныйзнак.рф/checking_codes/ .	NULL
Остаток может списываться с двух складов, только если на одном складе остаток закончился. Тогда Селсап пойдет на второй склад и спишет с него остаток. Для этого необходимо выбрать один склад "Использовать для заказов", а второй не использовать для заказов.\n\nСписывать остаток одного товара одновременно с двух складов при заказе - невозможно. 	NULL
При импорте товаров по умолчанию поле Артикул (для объединения на одну карточку) SelSup берется из поля на маркетплейсе, по которому объединяются карточки. Чтобы подставлять в него артикул продавца с маркетплейса необходимо включить переключатель:\n\nНапример:\n"Не объединять карточки по цветам и размерам. Артикул WB будет использоваться в качестве артикула для объединения в одну карточку в SelSup."\n\nВ этом случае объединение карточек в SelSup не будет повторять объединение карточек на маркетплейсе и в поле Артикул SelSup будет подставляться артикул продавца. Если вы уже импортировали карточки по другому, можете удалить карточки через раздел Мои организации со всеми данными нажав на кнопку в колонке Удалить карточки:\nhttps://selsup.ru/application/organizations/\n\nЛибо если вы уже работаете с остатками, изменить артикул SelSup через массовое редактирование через Excel.	NULL
Такая ошибка возникает, когда карточки уже подписаны и нет новых карточек для подписания. Необходимо дождаться модерации карточек в Честном знаке.	NULL
Вам необходимо скачать акт, чтобы отгрузка автоматически сформировалась в Яндекс.Маркете.	NULL
<p>Если клиент отправил товар в архив по всем правилам из&nbsp;<a href="https://c.selsup-team.ru/app/intents/1441" rel="noopener noreferrer" target="_blank">https://c.selsup-team.ru/app/intents/1441</a>, а заказы на него по-прежнему приходят, то нужно сделать следующее:</p><ol><li>какой сейчас шк на товаре? с какого мп приходят заказы?</li><li>сравнить с тем шк, который указан в заказе на этот товар</li><li>нужно перенести шк из архивной в правильную карточку</li><li>если на "неправильный" шк приходят заказы - перенесите его вторым шк в актуальную карточку,</li><li>именно ВБ присылает такой шк к этой карточке</li><li>удалите ID размера в карточке</li><li>в "правильной" карточке нажать Найти и связать, обновить остаток</li></ol><p>Теперь заказы не должны поступать на архивную карточку.</p>	NULL
<p>Предлагаем клиенту сравнить вручную через Повторяющиеся значения два акта.</p><p>Повторяющийся КИЗ клиент может удалить и загрузить акт в ЭДО.</p><p>ВБ в ЭДО подписывает УПД</p>	NULL
Вы можете обновите цены с маркетплейса на странице Цены, чтобы они импортировались в SelSup:\nhttps://selsup.ru/application/prices/\n\nДалее вы можете отправить эти цены с изменениями на другой маркетплейс, на который прененосите карточки на странице Массового изменения цен:\nhttps://selsup.ru/application/prices/massPrices\nУказав процент изменения цены или сумму\n\nТак же можете скачать файл Цены на странице:\nhttps://selsup.ru/application/prices/\nи перенести колонку цены с одного маркетплейса на другой по нужной формуле	NULL
Для проверки корректности остатков по комплектам необходимо:\n1. Перейти в карточку товара на вкладку Остатки FBS\n2. Выбрать интересующий склад и проверить количество в столбце Рассчитанный остаток. Если в столбце стоит 0, то нужно перейти на вкладку Комплекты. В каждом составляющем комплекта проверить какие остатки на вкладке Остатки FBS указаны на интересующих складах.\n\nЕсли остатков в составляющих не хватает на комплект, то все правильно, система показывает, что для комплекта остатков нет.\n\nЕсли остатки там есть и их хватает на комплекты, а в столбце Рассчитанный остаток указано 0, то сразу пишите в техническую поддержку ссылку на карточку товара, какое количество указано по комплектам и какой должно быть.\n\nВ столбце Рассчитанные остатки показано количество, как результат деления остатка составных частей на количество товаров в комплекте.\nНапример, комплект из 6 единиц. Общее количество единиц товара, составляющего комплект, это, например, 200. Следовательно, рассчитанный остаток равен 200/6=33 штуки.\n	NULL
Эта ошибка означает, что остатки на складе не обновились. Вероятно, склад в архиве или ещё не создан до конца. Проверьте статус склада в личном кабинете маркетплейса.	NULL
Да, при поиске данных пользователями в разных часовых поясах им может отображаться различное время: дата заказов, сборка и другие действия могут отображаться с разным временем. Следует учитывать это при работе в программе.	NULL
Заказ необходимо разделять в ЛК Яндекс.Маркета. При этом в Селсап будет отображаться один заказ, но две этикетки на два грузовых места. \nЕсли вы сначала подгрузили в Селсап этикетку, а затем разделили заказ в ЛК ЯМ, то в Селсап будут одна этикета. Вам необходимо удалить этикетку, нажав на красный крестик, и запросить её заново, после разделения заказа, по кнопке "Загрузить этикетки у заказов, где их нет".	NULL
По realFBS не будет данных по логистике в аналитике. Так как данные по логистике подгружаются с МП по API, а МП не доставляет по этой схеме. По realFBS доставляет курьерская служба. Сейчас мы разрабатываем возможность указать сколько было потрачено на логистику по realFBS, но точных сроков реализации этой функциональности нет.\n\nПродажи и комиссия в аналитике по realFBS подтянется.	NULL
<p>Необходимо запросить ссылку на карточку товара в Селсап и уточнить на каком мп нужно создать карточку.</p><p><br></p><p>Что проверяем:</p><p><br></p><ul><li>Сообщения об ошибках наверху в карточке;</li><li> Настройки интеграции с нужным МП;</li><li> Связи категорий для мп. Связь категорий - в категории, к которой привязан товар должна быть выставлена категория нужного МП;</li><li>Проставлены ли артикулы для нужных МП у товара;</li><li>Проверяем логи отправки карточек на МП и ответ от МП: getTask - выбираем нужный номер задачи по маркетплейсу;</li></ul><p><br></p><p>Отправка по Озон отдает taskId-по нему можно смотреть далее, что ответил маркетплейс, какую ошибку отдал.</p><p>Отправка по другим МП - смотрим ответы в задаче, чаще всего - сразу видно ошибку - после лога самой задачи. Также можно искать по Артикулам МП, и по тексту ошибки.</p><p><br></p><p>Подробнее в вики https://wiki.yandex.ru/texpodderzhka/skripty-dlja-raboty/chastye-problemy-v-texpodderzhke/kartochki-tovarov.-oshibki-otpravki-dannyx-foto/?from=%2Ftexpodderzhka%2Fpravila-raboty-specialista-klientskogo-servisa%2Fchastye-problemy-v-texpodderzhke%2Fkartochki-tovarov.-oshibki-otpravki-dannyx-foto</p>	NULL
Переключатели нужны для отправки карточки на маркетплейсы (кроме МегаМаркета и Авито). \nЕсли включить переключатель у определенного маркетплейса, то высветятся параметры со значками этого маркетплейса для заполнения (для всех маркетплейсов). После сохранения карточки запустятся задачи по созданию карточки на маркетплейсы. Когда задачи завершатся, карточки отправятся на маркетплейс и загорится значок маркетплейса в статусе создания карточки.\n\nПодробнее: https://selsup.ru/help/kartockka_tovara/	NULL
1. Загрузить этикетки - статус в маркетплейсе поменяется на На сборке (Вайлдбериз)/Ожидает доставки (Озон и Яндек.Маркет);\n2. Нажать на грузовичок "Собран" - ничего не делает на маркетплейсе;\n3. Закрыть поставку - статус в маркетплейсе поменяется на "Доставляется".	NULL
Как с обычными заказами, только доставка будет осуществляться курьерской службой. Стикеры заказов будут получаться из курьерской службы. Маркетплейс их не отдаст.\n\nПодробнее: https://selsup.ru/blog/integratsiya-so-sdek-i-pochtoj-rossii-dlya-realfbs/	NULL
На Яндекс Маркет схема называется «Экспресс». Заказ нужно доставить за 2 часа. По ней нельзя продавать продукты с коротким сроком годности и требующие особых условий хранения. Также есть ограничения по регионам  По сути это та же модель DBS, только в ускоренном формате. Заказы нужно привезти покупателю в срок от получаса до пары часов. География доставки ограничивается близлежащими районами. На Озон модель называется realFBS Express. Продавец должен собрать заказ за 15-30 минут и привезти покупателю за 2 часа. Можно возить заказы самому, заключить договор со службой доставки, интегрированной компанией или партнёром маркетплейса.\n\nПодробнее: https://selsup.ru/blog/fbo-fbs-dbs-ekspress-kakuyu-model-raboty-s-marketplejsami-vybrat/#ekspress-dostavka-zakazov	NULL
В разделе Заказы на отгрузку - Со своего склада перейдите в заказ и нажмите "История изменений".	NULL
Чтобы закупать товар до момента, как он закончится. На основании этой закупки можно создать приемку на склад.\n\nПодробнее: https://selsup.ru/help/zakupka-tovarov/	NULL
В закупке в блоке Планирование поставок можно выбрать товары на основе продаж и запланировать на сколько дней хватит остатков, чтобы сделать закупку.\n\nПланирование поставок работает следующим образом:\nСелсап берет период, например, неделю, и за эту неделю смотрит количество продаж. Например: продано товара 11 шт. Если вы планируете на 2 недели, то Селсап считает, что 22 штуки надо закупить. Поэтому, если на остатках у вас больше, чем Селсап посчитал в планировании, то в блоке Планирование поставок не будет отображаться товар.\nТакже он не будет отображаться, если товар есть на остатках ФБО.	NULL
В разделе Товары (или планирование поставок) будет столбец "Всего поставляется". В этом столбце отображается сколько вы ждёте товара. Если вы ждали 100шт товара, а вам пришло только 50 шт, то в столбце "Всего поставляется" будет отображаться 50шт, которые вам еще не пришли.	NULL
Никак. Вы можете изменить количество заказанного товара в самой закупке, даже если закупка закрыта, но поставляемое количество не поменяется.	NULL
Да, можно в долларах, в евро, в юанях. 	NULL
Товар вернется на остаток склада, если заказ был в статусе Новый или На сборке.\nЕсли заказ был в статусе Собран, Отправлен, Спорный, В пути, Возврат, Отменен, Выкуплен, Готов к выдаче, то товар не вернется на остаток на склад. Его надо ставить на остатки через приемку.\nТакже если заказ в статусе Возврат или Отмена, то в заказе будет кнопка "Вернуть на остатки".	NULL
<p>1. Проверить, не пришли ли одновременно заказы с разных маркетплейсов или на разные дубликаты товара.</p><p>2. Проверить, как обновлялись остатки по FBS в истории обновлении остатков: смотри заказ и его дату, смотрим историю остатков, когда проверлся заказ.</p><p><br></p><p>Если <strong>не</strong> нулевой остаток никогда не передавался на маркетплейс — значит сам маркетплейс сделал заказ на нулевой остаток - надо писать в ТП МП.</p><p><strong>Если передался 0 остаток, то надо посмотреть логи, когда он передавался. И с ними идти в ТП МП.</strong></p><p><br></p><p>Подробнее: https://selsup.ru/help/zakaz-na-nulevoj-ostatok/</p>	NULL
В SelSup не поддерживается создание заказов на получение кодов маркировки с типом "Перемаркировка".	NULL
Для изменения параметров в Селсап из 1С связь обязательна, поэтому сперва необходимо ее установить(импортировать) и только после этого данные в Селсап будут обновляться согласно файлам обмена с 1С.	NULL
<p>Проверьте, с какого файла подтягиваются данные. Если в названии файла есть selsup, то программа технически с такого файла не возьмёт информацию.</p>	NULL
Вы можете добавить штрих-код в карточке товара, нажав на плюс в поле с уже существующим штрих-кодом и введя новый штрих-код\n\nhttps://selsup.ru/wp-content/uploads/2024/05/snimok-ekrana-2024-05-09-v-09.08.14.png	NULL
Мы как спартанцы в колизее боеспособны, дисциплинированны и стремимся к победе	NULL
Вы можете настроить интеграцию с озон на странице:\nhttps://selsup.ru/application/integration/ozon\n\nПройдите по ссылке и помощник подскажет вам как настроить интеграцию:\nhttps://selsup.ru/application/?intent=integration.ozon	NULL
Вы можете настроить интеграцию с Wildberries на странице:\nhttps://selsup.ru/application/integration/wildberries\n\nПройдите по ссылке и помощник подскажет вам как настроить интеграцию:\nhttps://selsup.ru/application/?intent=integration.wildberries	NULL
Планирование поставки рассчитывает сколько вам нужно поставить товара на склад маркетплейса в зависимости от выбранного периода за который брать продажи или заказы ваших товаров, склада или группы складов покупателя, на сколько планировать поставку, текущих остатков на складе и уже поставляемого количества.	NULL
Криптохвост- это последовательность символов в коде маркировки честного знака. Точнее сказать этот самый криптохвост входит в структуру кода маркировки. Является её частью на некоторых этапах нахождения товара в обороте.	NULL
Скрипт запускается раз в сутки ночью. Проверьте завтра.	NULL
Вам необходимо в карточке товара SelSup исправить Тип товара в Честном знаке на соответствующий тип товара в Честном знаке.\n\nhttps://selsup.ru/wp-content/uploads/2024/05/snimok-ekrana-2024-05-14-v-13.28.16.png	NULL
Наша программа не рассчитывает налог по этой системе налогообложения. Но в карточке товара вы можете указать ставку налога, как требуют маркетплейсы. 	NULL
В карточке товара указаны одинаковые значения поля Размер или Российский размер в одной карточке. Проверьте значения соответствующих полей и исправьте параметры Wildberries.\n\nТак же ошибка может возникать при попытке создать размер, который уже существует на Wildberries, если по каким-то причинам в карточке не проставлен ID Wildberries. Попробуйте нажать Найти и связать на карточке, либо проставить правильный ID Wildberries соответствующий карточке. \n\nПришлите ссылку на карточку, если не понимаете из-за чего возникает проблема	NULL
Переключатель "Артикул товара" на странице импорта товаров необходимо включать для всех категорий товаров, которые не разделяются по цвету. Например, товары категории "Одежда" разделяются по цвету, поэтому перед импортом, необходимо отключать переключатель "Артикул товара".\n\nПодробнее про импорт товаров вы можете прочиттаь в статье: https://selsup.ru/help/import/ . 	NULL
Подключиться к новому формату можно только в веб-версии личного кабинета — изменить настройки в приложении Ozon Seller или печатать более компактные этикетки через Seller API не получится. В ближайшее время добавим эти возможности — обязательно расскажем об этом отдельно.	NULL
Нажмите, пожалуйста, в настройках товаров кнопку "Обновить остатки в товарах". Это действие ещё раз обновит количество товаров в тарифах, и оно должно обнулиться.	NULL
Ошибка возникает из-за того, что у карточки не проставился номер SKU для хранения остатков. Чтобы исправить ошибку необходимо перейти на карточку товара и нажать Сохранить, при сохранении SKU будет автоматически проставлен.\n\nПереключатели отправки карточки в маркетплейсы можно все отключить.	NULL
<p>Как временное решение - предлагаем клиенту создать товары другим способом - вручную создать товар.</p><p>По 504 ошибке сообщаем в поддержку ВБ.</p>	NULL
<p>В Настройках выключить тумблер "Использовать задания для сборки заказов FBS"</p>	NULL
Селсап передает остатки в сбермегамеркет не через фид а через API, для корректной работы интеграции вам нужно переключить метод передачи остатка.	NULL
SelSup несколько раз в день импортирует цены с маркетплейсов и обновляет их в SelSup. В истории цен вы увидите, что цена пришла с маркетплейса.\n\nКогда вы изменяете цену через SelSup мы 1 раз пытаемся отправить цену на маркетплейс и показываем результат отправки цены. После этого цена не передается на маркетплейсы и может обновляться с них.	NULL
Этот показатель рассчитывается от габаритов\n(30 рублей за 1 л. + 7 рублей за каждый дополнительный литр), то есть из габаритов высчитывается объем в литрах\n(длина,см*ширина,см*высота, см) /1000 - это расчет объема 	NULL
К сожалению, в Селсап такой функции нет.	NULL
<p>С ноября 2023 года срок действия всех выпускаемых токенов авторизации составляет 180 дней. Если у клиента слетают интеграции, следует перевыпустить токен.</p>	NULL
<p>Реклама в сервисе отражается корректно. Отдельной строкой можно увидеть по ВБ (аналитика-финансы) и ОЗОН. Так же доступна в PnL (отчет о прибылях и убытках) для ВБ. По ЯМ реклама находится в общей строке УСЛУГИ</p><p>Сравнить данные можно: по ВБ в ЛК селлера раздел реклама-ВБ продвижение-Финансы-скачать Историю затрат.</p><p>По озон в лк кабинете селлера отдельные статьи по услугам выводятся в одну строку в селсап=реклама озон (актуально на 27.11):приобретение отзывов на платформе, услуга продвижения бонусы продавца, трафареты,звездные товары). Статьи в селсап обновляются за изменениями на ОЗОН.</p><p>ЯМ реклама находится в статье Услуги (сравнить можно с отчетом по заказам вкладка услуги и маржа по заказам) </p>	NULL
Селсап может вводить и выводить любые коды: как при заказе с розничного магазина, так и с маркетплейса.	NULL
Ошибка связанна с связью по остатку, перейдите на странице https://selsup.ru/application/stocks и включите "показать дубликаты" далее вам нужно найти товар у которого ссылка в столбце "дубликат" ведет на несуществующий товар. Для решения проблемы удалите у него связь по остатку.\nТакое бывает когда вы через файл указываете товару несуществующий в вашем ЛК SKU	NULL
В разделе Данные — Производители необходимо указать ваш ИНН, не вашего иностранного производителя, он должен совпадать с тем, что указан в Честном знаке и Сертификате ЭЦП.\n\nТакже проверьте правильность заполнения ИНН в разделе Мои организации.\n	NULL
Задвоенный остаток в сверке отображается в следующих случаях:\n1)у товара несколько штрих-кодов, так-как остаток отдается по штрихкоду wildberries\n2)товары объединены по остаткам, подробнее про связи остатков https://selsup.ru/help/obedinenie-ostatkov-tovarov-na-raznyh-kartochkah-i-organizatsiyah/\n	NULL
Фото в Селсап обновляются импортом из маркетплейса, если это не происходит, вероятнее всего, у вас фото загружены в Селсап и при импорте они являются приоритетнее, чем фото из маркетплейса.\nУдалить фото из сервера Селсап через кнопку "Удалить изображение" (при этом фото не пропадут, а заменятся ссылками из маркетплейсов) можно на странице https://selsup.ru/application/organizations/	NULL
Ошибка означает, что в созданном складе не проставлены связи с вашими складами на маркетплейсах. Необходимо проверить наличие связей и внести их, если там ничего нет: https://selsup.ru/application/warehouse/10129	NULL
Такое бывает, необходимо повторить операцию через время. Селсап подгружает параметры, если в попытке ввода их нет, а на это нужно время. 	NULL
Это базовый расчёт на основании габаритов товара. Итоговая сумма логистики находится в Логистика Итого.	NULL
Если появятся вопросы, обязательно обращайтесь. Будем рады помочь! 	NULL
Для решения вопроса, пожалуйста, проверьте поочередно следующие настройки:\n1. Настроена интеграция с маркетплейсом и введены ключи API:https://selsup.ru/application/integration/\n2. Настроены связи со складами маркетплейсов, для Яндекс.Маркет и Мегамаркета указаны номера складов: https://selsup.ru/application/warehouses/\n3. Есть связь карточки с маркетплейсами, есть значок маркетплейса в разделе "Товары" в столбце "Ссылки". Если значка нет, то необходимо проставить артикулы маркетплейса в карточке товара и нажать "Найти и связать" в голубом меню вверху карточки товара по значку маркетплейса: https://selsup.ru/application/products\n4. В карточке товара нажмите на кнопку в голубом меню с круглой стрелкой "История отправки остатков по FBS" и проверьте какой остаток был отправлен и когда по этому товару.\n5. В карточке товара нажмите на кнопку в голубом меню с домиком "Остатки товаров данной модели" и проверьте все операции по изменению остатков по модели.\n6. В карточке товара на вкладке "Остатки FBS" проверьте отсутствие иконок в колонке Ошибка со значком маркетплейса или красных крестиков.\n7. В карточке товара на вкладке "Остатки FBS" включите переключать "Обновлять на маркетплейсе", измените остаток и отправьте его, нажав на кнопку с галочкой. Проверьте отсутствие ошибок при обновлении остатков.\n8. В разделе "Мои организации" проверьте столбце "Стратегия остатков", если товар является дубликатом или у него есть дубликаты, то скорее всего стоит стратегия остатков "Одинаковые, если не 1шт", в таком случае при наличие 1 шт. товара, по дубликатам будет отправляться 0: https://selsup.ru/application/organizations/ \n\nЕсли выяснить причину не удалось, пришлите, пожалуйста:\n- описание проблемы;\n- ссылку на карточку товара, по которой не передаются остатки;\n- название склада, на котором этот товар числится;\n- какое количество остатков должно быть отправлено;\n- есть ли дубликаты товаров.	NULL
Для решения вопроса, пожалуйста, проверьте поочередно следующие настройки:\n1. Настроены связи со складами маркетплейсов, для Яндекс.Маркет и Мегамаркета указаны номера складов: https://selsup.ru/application/warehouses/\n2. Есть связь карточки с маркетплейсами, есть значок маркетплейса в разделе "Товары" в столбце "Ссылки". Если значка нет, то необходимо проставить артикулы маркетплейса в карточке товара и нажать "Найти и связать" в голубом меню вверху карточки товара по значку маркетплейса: https://selsup.ru/application/products\n3. В карточке товара нажмите на кнопку в голубом меню с круглой стрелкой "История отправки остатков по FBS" и проверьте какой остаток был отправлен и когда по этому товару.\n4. В карточке товара нажмите на кнопку в голубом меню с домиком "Остатки товаров данной модели" и проверьте все операции по изменению остатков по модели (поступления и списания).\n5. В карточке товара на вкладке "Остатки" проверьте отсутствие иконок в колонке Ошибка со значком маркетплейса или красных крестиков.\n6. В карточке товара на вкладке "Остатки" включите переключать "Обновлять на маркетплейсе", измените остаток и отправьте его, нажав на кнопку с галочкой. Проверьте отсутствие ошибок при обновлении остатков.\n7. В карточке товара проверьте заполнены ли параметры:\n- МИНИМАЛЬНЫЙ ОСТАТОК FBS\n- ИГНОРИРУЕМЫЕ СКЛАДЫ МАРКЕТПЛЕЙСОВ\n- УБРАТЬ С ОСТАТКОВ FBS\n8. В разделе "Мои организации" проверьте столбце "Стратегия остатков", если товар является дубликатом или у него есть дубликаты, то скорее всего стоит стратегия остатков "Одинаковые, если не 1шт", в таком случае при наличие 1 шт. товара, по дубликатам будет отправляться 0: https://selsup.ru/application/organizations/ \n\nЕсли выяснить причину не удалось, пришлите, пожалуйста:\n- описание проблемы;\n- ссылку на карточку товара, по которой не передаются остатки;\n- название склада, на котором этот товар числится;\n- какое количество остатков должно быть отправлено;\n- есть ли дубликаты товаров.	NULL
Настроить интеграцию с Леруа Мерлен вы можете на странице интеграций: https://selsup.ru/application/integration/\n\nКлюч API для интеграции выдается службой поддержки Леруа Мерлен. Необходимо написать в их поддержку с просьбой предоставить x-api-key\n\nИмпортировать товары в Селсап вы можете файлом. Для этого необходимо скачать файл в разделе "Товары" по кнопке "Экспорт", проставить в нём артикул Леруа в карточках и импортировать файл обратно в раздел "Товары" по кнопке "Имопрт": https://selsup.ru/application/products .\n\nС помощью интеграции Леруа Мерлен с Селсап вы сможете работать с заказами и обновлять остатки товаров.\n	NULL
